example_id,problem,problem_category,answer,answer_type
10,"I'm researching extreme weather in the United States. Between 2017 and 2021 (inclusive), which year saw flood-related fatalities in over 20 states, with over 100 total deaths (with all states combined)? This includes both flash flooding and river flooding. Use National Weather Service and NOAA data.",Science,2021,Single Answer
11,"Which country, based only on data from the year 2014 and found on the official Our World in Data page, had an age-standardized death rate from pancreatic cancer in both sexes of 9.1 or higher per 100000 people, had an age-standardized death rate from breast cancer in females of 17.0 or over per 100000, had an age-standardized death rate from prostate cancer in males of 21.0 or over per 100000 people, and a general reported annual death rate from cancer (age-standardized deaths that are from malignant neoplasms per 100000 people in both sexes) higher than 142 per 100000?",Health,Slovakia,Single Answer
12,"Among Jakks Pacific, Hasbro, Mattel, and Funko which company had the highest debt-to-capital ratio for the fiscal year ended December 31, 2023? Use the SEC website and filings.",Finance & Economics,"Hasbro, Inc.",Single Answer
13,"In the year that featured a volcanic eruption in Iceland causing widespread air-travel disruption across Europe and the northern hemisphere, a historic weather event led to severe flooding in England. During this weather event, there is an area that recorded the highest daily rainfall total and also has a castle. The castle is protected by a drawbridge, does the main gatehouse entrance of this castle predominantly face north, south, east, or west?",History,West,Single Answer
14,Determine which states had an ACT participation rate of 50% or higher for the graduating class of 2023 and received an average composite score of 20 or above. What percentage of each state's students met the science benchmark?,Education,"41% in Minnesota, 41% in South Dakota",Set Answer
15,"List all of the countries that meet all of the following conditions: Is an EU member state as of 2024; Doesn’t have a monarchy; Had over 100,000 people immigrate in 2022; As of 2024, the voting age is 18 or above for European Elections; According to Eurostat, over 20.0% of the population was at risk of poverty or social exclusion in 2022.",Politics & Government,"France, Italy, Romania, Portugal",Set Answer
16,"I went on a three-day trip, starting in Cape Kiwanda on the first day, traveling to Shoshone Falls Park on the second day, and arriving at the American Heritage Center on the third day. I remember seeing some type of shrew that is apparently endemic to one of the areas we were in, but I can't remember its scientific name. It was at least 150 mm long. What was the scientific name of the one I am trying to remember? Use animalia.bio to source the info.",Science,Sorex pacificus,Single Answer
17,"Find the names of the four members of the US women's 3X3 basketball team at the 2020 Olympics. Find out what their final college team was and who the head coach of their final college team was during the 2022/2023 season, as well as the name of the team player with the highest average points per game for that season and the team player with the highest average rebounds per game for that season. Provide a bulleted list with the name of the 3X3 team member, the name of their final college, the name of the coach in the 2022/2023 season, the name of the team player with the highest average points in the 2022/2023 season, and the name of the team player with the highest average rebounds in the 2022/2023 season in a comma separated list for each bullet point. Order the bullet list in alphabetical order by the player's first name. Do not list any other information.",Sports,"* Allisha Gray, University of South Carolina, Dawn Staley, Zia Cooke, Aliyah Boston
* Jacquelyn (Jackie) Young, University of Notre Dame, Niele Ivey, Sonia Citron, Olivia Miles
* Kelsey Plum, University of Washington, Tina Langley, Dalayah Daniels, Dalayah Daniels
* Stefanie Dolson, University of Connecticut, Geno Auriemma, Aaliyah Edwards, Dorka Juhasz",Set Answer
18,"According to Agriculture and Agri-food Canada, before 2023, which years had a double digit percentage increase from the prior year, in total dairy imports in dollars to Canada? Don't list any years before 2016.",Finance & Economics,"2019, 2021, 2022",Set Answer
19,"In 2023, The World’s 50 Best restaurants as published by William Reed began to officially list restaurants 51-100 as well. Name any restaurants that are included on both the 2022 and 2023 lists and are situated either in Germany or in countries that share a land-border with Germany.",Travel,"Alchemist, Arpege, Hof Van Cleve, Jordnaer, Le Clarence, Nobelhart & Schmutzig, Restaurant Tim Raue, Schloss Schauenstein, Septime, Steirereck, The Jane",Set Answer
20,"I would like you to extract the following information from the Mental Health Commission of Canada's 2022-2023 Impact Report: 
- What specific industry groups is TWM available for?
- How many TWM facilitators have been trained worldwide?
- Who is quoted from Roots of Hope, Colchester Ground Search and Rescue, and Healthy Minds Cooperative?
- What was the first year for MHCC as a registered charity?",Health,"- First responders (fire, police, paramedics, corrections staff), Post-secondary students, Health care, Legal, Oral health care, Sports.
- More than 1,500
- Wesley Jones, Tina Brown, Tyler Colbourne
- 2022",Set Answer
21,"There is an article that begins on page 433 of Volume 47 of Polar Biology (Springer Nature Link). In the first-listed source from 2017 (under ""references"") that was written by the first two listed authors of the aforementioned article (beginning on page 433 of Volume 47 of Polar Biology), what are the last names (in alphabetical order) of the first ten authors/scholars cited in the introduction? Don't count any last names more than once. Separate all last names with a comma.",Education,"Camhi, Cortes, Goldman, Gruber, Hoenig, Jensen, King, McFarlane, Rose, Winemiller",Set Answer
22,"Of the five countries with the highest per capita death toll from COVID-19 (cumulative as of 2023, according to Johns Hopkins), which have a trade deficit of less than 10 billion dollars (according to most recent 2022 numbers from WITS, not including services), have population of less than 20 million (according to most recent 2023 numbers from Macrotrends), and for each of these countries: which years between 2004 and 2022 do they have less than or equal to -3 for the GDP growth (according to WITS)?",Other,"Hungary: 2009, 2020, Bulgaria: 2009, 2020, Bosnia and Herzegovina: 2009, 2020, North Macedonia: 2020",Set Answer
23,"Using www.gov.scot can you list me, in order, the 5 Scottish regions that had the highest mean common mussel production between the years of 2020-2024 inclusive?",Other,"Shetland, Highland, Strathclyde, Western Isles, Orkney",Set Answer
24,"Which cities/urban areas under SSGA18 with a population of 15,000 or more are within 400km driving distance from Nelson - not including those where a ferry is required?",Geography,"Richmond, Blenheim, Rangiora",Set Answer
25,"Find the votes that passed in the US House of Representatives between December 1st 2023 and December 10th 2023 (inclusive), with over a 90% ""yea"" vote (not including ""present"" or ""not voting"" votes). Out of these votes, find the ones where there were no “present” votes. Finally, in which of these votes were the “nay” votes mostly made up of Republican representatives (include votes where the “nay” votes were made up of exactly 50% Republican representatives). Include all votes made in the House of Representatives, including those regarding amendments, bills, resolutions, motions and ordering the previous question.",Politics & Government,"Roll Call 695 (118th Congress), Roll Call 696 (118th Congress)",Set Answer
26,"In the 2019 UK parliamentary election, in Sheffield and Bristol, which candidates received a vote share of above 50% in constituencies that had a turnout of at least 60%?",Politics & Government,"Louise Haigh, Kerry McCarthy, Karin Smyth, and Thangam Debbonaire.",Set Answer
27,"Obama's White House reports that a man named Frank Cordie started a brick company in 2010, in hopes of revitalizing a city's brick industry. What are the names of the streets that the elementary schools are on in this city's school district? The schools must teach up to grade 5.",Geography,"(West) Boulevard Street, (West) Curtis Street",Set Answer
28,"During the 2014 Term Year for the United States Supreme Court, how many certiorari denials were on the Order List on December 15th?",Politics & Government,86,Single Answer
29,"By using the NHS website for “Shoulder Pain”, which of the possible causes of the condition creates symptoms like poor balance and coordination?",Health,Hypermobility,Single Answer
30,"How many research chairs did each of these schools gain or lose between the 2008 Re-allocation results and the 2012 Re-allocation results? University of British Columbia, University of Alberta, University of Saskatchewan, University of Manitoba, University of Toronto.",Politics & Government,"University of British Columbia: +12, University of Alberta: +1, University of Saskatchewan: -5, University of Manitoba: -7, University of Toronto: -1",Set Answer
31,"According to the Our World in Data migration chart and the IMF’s World Economic Outlook 2023 GDP per capita data, which countries had an absolute change in the total number of emigrants between 3 million and 4 million from 1990 to 2024, a relative change in emigrants above 100% from 1990 to 2024, and a GDP per capita above $2,000 in 2023?",Finance & Economics,"Romania, Egypt",Set Answer
32,"For the states with 2 seats in the U.S. House of Representatives following the 2020 Census, which of these states saw their population grow by at least 4.5% from 2010 to 2020, and report a median household income in the 2023 American Community Survey 1-year estimates that was higher than the national median household income of $77,719. If this applies to more than one state, please list them in alphabetical order.",Finance & Economics,"Hawaii, New Hampshire",Set Answer
33,"Refer to macrotrends.net for NVIDIA’s historical annual stock price data and to worldometers.info for United States GDP percentage change. For the years 2020, 2021, 2022, and 2023, tell me which of these saw NVIDIA’s stock price grow by more than 125% (annual % change) and the GDP of the United States grow by more than 2.5%.",Finance & Economics,"2021, 2023",Set Answer
34,"By comparing the results from all the exam periods between March 2022 and March 2024, what exam period had the highest percentage of those receiving an A grade in English Language in the Cambridge International AS exams?",Education,March 2022,Single Answer
35,"I'm looking at the late sockeye run for the years 2018 to 2023, according to the the Alaska Dept. of Fish and Game's Fish Count Data Search. The river I'm looking for specifically is where the tribe of the author of ""K'tl'egh'i Sukdu: Remaining Stories"" is based. Which years had a cumulative count higher than 1.8 million?",Current Events,"2019, 2021, 2023",Set Answer
36,"I'm trying to remember the primary sponsor of a certain bill that I recall being co-sponsored by my Michigan state representative, Julie Rogers, sometime in 2023. This bill was either a labor or education bill. I remember that the bill specifically pertained to union dues, which is how I heard about it (from work). This bill was definitely one of the first 50 bills introduced in 2023. Can you tell me who the primary sponsor of that bill would be?",Politics & Government,Matt Koleszar,Single Answer
37,"I’m going to school for my MSW, and I’m not sure which school to attend. I’d like to stay in what the Bureau of Labor Statistics calls the “Mountain-Plains” region. Of those states, use the National Center for Education Statistics College Navigator tool to find public universities with social work programs and advanced award levels. The schools should have a ratio of 15 students or fewer per 1 faculty member, and on-campus housing. Finally, determine the sticker price for tuition in the 2022-2023 school year (Tuitiontracker.org) and note which universities had sticker prices of $25,000 or less. Identify the schools that meet the criteria.",Education,"Fort Hays State University, Washburn University, University of Wyoming",Set Answer
38,"As of 2023 data, which countries in Asia have a population of over 50 million while also having a 2022 GDP per capita of less than $10K in the Maddison Project Database with a 2023 median age of less than 35 and is also a country that isn't landlocked?",Geography,"Philippines, Vietnam, India, Pakistan, Bangladesh, Myanmar",Set Answer
39,"According to fishbase.org, name the species of fish that are both dangerous and introduced from the following states that have more than one state in common: Washington, Wisconsin, Idaho, Iowa and Texas.",Science,"Lepomis gibbosus (Pumpkinseed), Micropterus salmoides (Largemouth Black Bass), Ctenopharyngodon Idella (Grass carp), Cyprinus carpio (Common carp), Oncorhynchus mykiss (Rainbow trout), Oreochromis mossambicus (Mozambique Tilapia), Poecilia reticulata (Guppy) and Scardinius erythrophthalmus (Rudd)",Set Answer
40,"Using the 2024 World Happiness Report and the US Census Bureau's International Database, which countries with a population of over 1,000,000 in 2023 were ranked within the top 20 by life evaluation in the 2021-2023 period, had a positive change in happiness from the 2006-2010 period to the 2021-2023 period and whose ""happiest"" age group was young people (under 30)?",Geography,"Israel, Lithuania, Czechia",Set Answer
41,"According to the publicly available meeting minutes for the Executive Committee of the Toronto and Region Conservation Authority, which board members were absent more than once from the meetings in May, June, September, October, and November of 2021?",Politics & Government,"Dipika Damerla, Paula Fletcher, Maria Kelleher",Set Answer
42,"According to the 2023 estimates from the CIA World Fact Book, of the countries in the Middle East that produce oil in the millions of barrels per day, who are the top three leaders in percentage of generation of non-fossil fuel energy and which types of non-fossil fuel energy do they use?",Other,"United Arab Emirates (Nuclear, Solar), Iran (Nuclear, Solar, Wind, Hydroelectric), Oman (Solar, Wind)",Set Answer
43,"Of the countries that the WHO listed in 2017 as having 100% of their hospitals following national dementia standards, which country has had the greatest increase in life expectancy between 1950 and 2023 according to OurWorldInData.org?",Health,Italy,Single Answer
44,"Using information from End Corporal Punishment, identify the countries that banned all corporal punishment of children between the years 1955 and 2004 (inclusive of bans in the years 1955 and 2004). Of these countries, which had a total mortality rate of children under the age of 5 that decreased by more than three per 1,000 live births between the years 2005 and 2023 according to the World Bank Group?",Health,"Bulgaria, Latvia, Romania, Turkmenistan, Ukraine",Set Answer
45,"List all of the nucleoside reverse transcriptase inhibitors that have kept their FDA approval rating since the 1900s and contain a carbonyl group. Provide their generic names, not brand names.",Science,"Lamivudine, zidovudine",Set Answer
46,"Which municipalities in the Vancouver Lower Mainland saw an increase specifically in passenger vehicle population by 10,000 vehicles or more between 2020 and 2023 according to ICBC Vehicle Population data?",Finance & Economics,"Surrey, Burnaby, Richmond, Langley",Set Answer
47,"Using discogs, find all of Dizzy Gillespie's shellac records that feature John Coltrane; from the resulting records, produce a list of all tracks for which Gillespie is credited as writer.",Arts,"Birks Works, Coast To Coast, Oo-La-La, Tally-Ho",Set Answer
48,"Across the 2020, 2021, and 2022 “Water and Sewerage Companies Environmental Performance Assessments”, which of the nine English water companies had the lowest average discharge permit compliance percentage?",Health,Southern Water,Single Answer
49,"According to SAMHSA's 2019 National Survey on Drug Use and Health, which gender among teenagers aged 12-17 experienced a larger percentage increase in alcohol use in the past month when comparing 2018 values to 2019 values?",Health,Female,Single Answer
50,Narrow the Pulitzer Prize winners for History from the years 1990 to 1995 down to those who have either worked as a professor at an Ivy League institution or as a professor at one of the top 25 schools for history programs according to the QS World University Rankings in 2023.,Education,"Laurel Thatcher Ulrich, Gordon S. Wood, Doris Kearns Goodwin",Set Answer
51,"Using Statistics Canada, list all names for boys that stayed within the top 5 baby names for boys between the years 2019 and 2022.",Other,"Liam, Noah, William",Set Answer
52,"Of the BRICS countries as of JAN 2024 (not including Saudi Arabia) that had a GDP per capita above $4000 in 2023 (World Bank, Constant 2015 US$) and the proportion of urban people living in slums under 20% (UNSDG, 2022), which had the largest proportion of youth not in education, employment or training (UNSDG, 2022)?",Finance & Economics,Egypt,Single Answer
53,"According to the data provided by the NHTSA, which of the following states saw the greatest increase in traffic fatalities between the year 2000 and 2004: California, Florida and Texas?",Travel,California,Single Answer
54,"According to BiggestUSCities.com's ""Top 100 Biggest US Cities"" lists, which city or cities in the top 10 had a positive growth rate in 2020, 2022, and 2023?",Politics & Government,Phoenix (Arizona) and San Antonio (Texas),Set Answer
55,"Among Saia, Inc., Matson, Inc., and ArcBest Corporation, which company had the greatest reduction in operating expenses for the fiscal year ended December 31, 2023? Use the SEC website and filings.",Finance & Economics,ArcBest Corporation,Single Answer
56,"Of the school districts in Maricopa County that had a 4-day a week schedule for the 2023-2024 school year (according to the Maricopa County School Superintendent), which ones had a minimum of 1200 students for the same school year, an inexperienced core teachers, principals, and school leaders percentage for their Title I schools of 25% or less, and teachers with emergency credentials of 5% or under for their Title I schools, according to AZ School Report Cards for 2024? Include only the final answer.",Education,Wickenburg Unified District,Set Answer
57,The last time a Republican won the New York gubernatorial vote what were the names of the parties they run under on the ballot when they were first elected as Governor of New York?,Politics & Government,"Republican, Conservative, Tax Cut Now",Set Answer
58,"According to 2022 CDC COVID-19 mortality data, out of the US states with a population above 7,000,000 according to the 2020 decennial census, a median household income of at least $75,000 according to the St Louis Fed as of 2022, and a statewide average temperature above 30 degrees Fahrenheit in January 2022 according to NOAA's Climate at a Glance, which state had the lowest number of COVID-19 deaths?",Health,Washington,Single Answer
59,"Based on information located on data.nysed.gov, consider ny state graduation rate data for high school students as of August 2023. Consider subgroups that had a total enrollment under 2000 students. Which of these subgroups also had a dropout percentage of 3 percent or more and a graduation rate over 40 percent? List the subgroups in order of least amount total enrolled students to highest.",Education,"Non-binary, In Foster Care, American Indian or Alaska Native",Set Answer
60,"According to the National Park Service, using their NPSpecies data, compare the number of Non-native birds at Zion National Park, Canyonlands National Park, and Arches National Park. List all of the common names of these non-native bird species within the park with the largest number of non-native bird species in alphabetical order.",Science,"Chukar, Eurasian Collared-Dove, European Starling, House Sparrow, Rock Pigeon",Set Answer
61,Which universities in the top 20 of the QS World University Rankings for 2021 were also in the top 10 US University Rankings and the top 10 (world) Arts and Humanities Rankings? Please only use information from the QS 2021 rankings and list the schools in alphabetical order.,Education,"Columbia University, Harvard University, Princeton University, Stanford University, Yale University",Set Answer
62,"Base your response to this prompt on data found at data.un.org. I'm focusing on the following countries: France and the Republic of Korea. I'd like you to tell me which of those two countries had the highest combined percentage increase in Gross Domestic Product (Million Current US$) from 2015 to 2020 and from 2020 to 2024. For example, if a country had a 15% increase from 2015 to 2020 and a 2% decrease from 2020 to 2024, you would add 15% and -2% together for a final combined value of 13%.",Finance & Economics,Republic of Korea,Single Answer
63,"What was the first year in which any of the nine artists that formed ""Group X"" that exhibited at the Mansard Gallery received a Blue Plaque in London? For this exercise, consider the nine members to be Lewis, Dismorr, Etchells, Hamilton, Roberts, Wadsworth, Dobson, Ginner and Kauffer.",Arts,1983,Single Answer
64,"Looking at the New York State Education Department's 4 year graduation outcome data as of August 2023, demographic data for the NYS student population can be found detailing graduation rates. Among student demographics in which at least half of students graduated with a Regents Diploma (excluding Regents with Advanced Designation), which of those demographics also have an overall graduation rate of less than 80%?",Education,"Students with Disabilities, English Language Learner, Homeless",Set Answer
65,"List the Klein ISD high schools in Texas from highest to lowest attendance rate for the 2017-2018 academic year, based on tea.texas.gov data.",Education,"Klein Cain High School, Klein Oak High School, Klein Collins High School, Klein High School, Klein Forest High School",Set Answer
66,"Provide a complete list of all countries that have a population over 100 million in 2025, that contain over 500 billion cubic meters of internal fresh water for the year 2021, and have a mortality rate less than the birth rate for the year 2021. The order of the list should be based on the largest population size in 2025.",Geography,"India, United States, Indonesia, Brazil, DR Congo",Set Answer
67,"I will be doing environmental research at Macquarie University in Australia, and I want to know their history of being awarded grants. List the year and project title of every occurrence of Macquarie in the 2018-2023 Research Grants awarded by the New South Wales Environmental Trust. Start the list with 2023, you can exclude any years that Macquarie doesn't have awards. Each grant should be on a separate line.
Year - Project Name",Science,"2023 - Living Boulders for reviving marine life on coastal defences
2022 - Using mosquito DNA (iDNA) for detecting the occurrence of native mammals in semi-arid refuges
2020 - Characterising the (a)biotic soil factors associated with bell miner associated dieback in eastern NSW
2019 - Predicting the impacts of groundwater abstraction on groundwater ecosystems
2018 - Building with nature: using potato waste to restore NSW oyster reefs
2018 - Evaluating and reducing the risk of floodplain wetland disconnection
2018 - Evaluating resilience of swamp communities to environmental change in the Sydney Basin",Set Answer
68,"I am doing a study on the performance of rail operators in the UK. Identify the rail operators that had between 5 and 10 million passenger journeys in the UK between October and December 2021 (according to the ORR Passenger rail usage report from October to December 2021), and also had a punctuality score of less than 70% of trains on time in the same period (according to the ORR Passenger rail performance report from October to December 2021). Of these operators, did any have a delay compensation claim approval rate of less than 80% and a volume of delay compensation claims closed of less than 100,000, between October 2021 and January 2022 (according to the ORR Rail delay compensation claims report from 17 October 2021 to 8 January 2022)? If so, please list them.",Travel,"East Midlands Railway, TransPennine Express",Set Answer
69,"What was the country with the latest year of independence from European colonization, according to the CIA World Factbook, that was also classified as an Authoritarian regime and being a Sub-Saharan African country in the 2022 Economist Democracy Index, and had access to electricity for less than 20% of the population in 2022, according to Our World in Data?",Politics & Government,Burundi,Single Answer
70,Please provide me with a list of fires from the San Francisco database of fires up to May 2024 that involved more than 1000 suppression units and had the date of the incident after 2010. Please give the incident number of these fires.,History,"11120831, 14018336",Set Answer
71,"According to the CDC, which US states had a death rate due to heart disease >191.5, a death rate due to cancer >161.9, and a death rate due to diabetes >33.1 in 2022?",Health,"Arkansas, Mississippi, Oklahoma, West Virginia",Set Answer
72,"In August 2023, which days did Jackson, Mississippi see a high temperature of at least 100 degrees Fahrenheit, which days did it see a low temperature of at least 80 degrees Fahrenheit, and which days did it see both a high temperature below 100 and a low temperature below 80? Use data from the Extreme Weather Watch website.",Science,"Days with a high temperature of at least 100 degrees Fahrenheit: August 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 23, 24, 25, 26

Days with a low temperature of at least 80 degrees Fahrenheit: August 4, 10, 11, 12

Days with both a high temperature below 100 degrees Fahrenheit and a low temperature below 80 degrees Fahrenheit: 1, 7, 8, 15, 16, 17, 27, 28, 29, 30, 31",Set Answer
73,"According to the public policy institute of california's 2018 state-wide survey for the last month of the year, find the issues that over 9 percent of adult californians (from any of the surveyed regions) found most important. Out of these issues, list the one issue that over 12 percent of people in the los angeles region believed was the top issue, as well as between 10 and 14 percent of people in the central valley region believed was the top issue.",Politics & Government,"Jobs, economy",Single Answer
74,"Out of all the GeForce GPUs released before 2020 that have over 1 GB base memory, what is the BUS width of the card that was known for black screen or BSoD crashes?",Technology,352 bit,Single Answer
75,"Which US states (do not include Washington DC) had fewer than 100 total fatal car crashes in any year between 2016 and 2019, using NHTSA data?",Other,"Alaska, Hawaii, New Hampshire, North Dakota, Rhode Island, South Dakota, and Vermont",Set Answer
76,"In the Sheffield city council ward elections on May 5, 2022, which of Fathima Nabeela Mowlana, Martin John Phipps, Zahira Naz, Martin Richard Smith, and Abtisam Mohamed Mohamed won by the biggest margin in terms of number of votes between them and the candidate in second place, according to https://www.sheffield.gov.uk/your-city-council/city-council-parish-council-election-results?",Politics & Government,Martin Richard Smith,Single Answer
77,"Of the states with more than 10% foreigners and a population of more than 2 million in Germany in 2023, which had more than 100,000 students in the 22/23 school year?",Politics & Government,"Baden-Württemberg, Bayern (Bavaria), Berlin, Hessen (Hesse), Niedersachsen (Lower Saxony), Nordrhein-Westfalen (North Rhine–Westphalia), Rheinland-Pfalz (Rhineland)",Set Answer
78,"According to eia 2022 rankings and data, which states in the top 10 for energy production by share of US output, also have a below average retail price for electricity",Finance & Economics,"Texas, Pennsylvania, New Mexico, Wyoming, West Virginia,  Louisiana, Oklahoma, North Dakota, Colorado, Ohio",Set Answer
79,List all countries from the 2023 IQAir World Air Quality Report that met the WHO annual PM2.5 guideline (annual average of 5 µg/m3 or less) that saw at least a 15-point increase in their quality of life index rating from 2013 to 2023 (according to Numbeo).,Geography,"Australia, Estonia, Finland",Set Answer
80,"Which of Isabelle Darcy's (2012) coauthors on the article ""Direct Mapping of Acoustics to Phonology: On the Lexical Encoding of Front Rounded Vowels in L1 English-- L2 French acquisition"" has taught courses on both the German language and constructed languages at Indiana University-Bloomington?",Linguistics,John H.G. Scott,Single Answer
81,"I have recently graduated high school and am searching for a college or university to attend. Of the colleges and universities in Florida, which is closest to Tallahassee that satisfies the following criteria: was a National Merit college sponsor in the 2021 - 2022 academic year, and offers an undergraduate degree in aerospace engineering.",Education,University of Florida,Single Answer
82,"Using data from the IEA, determine which countries had government policies enacted in 2021 or prior that are currently in effect for efficient or cleaner technologies. Then, identify the number of EV car sales for battery electric vehicles in 2021 for each country (IEA). Discard any countries that had more than 100,000 sales or fewer than 2,750 sales. Finally, using the IEA’s Renewable Energy Progress Tracker, identify the cumulative capacity total in gigawatts for the amount of bioenergy for each country. Determine the country that had the lowest amount of BEV sales in 2021 while having the highest amount of gigawatts used for bioenergy, and provide the country's population count for 2021 according to database.earth.",Technology,"209,550,294",Single Answer
83,"According to JDPower, which of these companies released the most SUV models in 2014? Ford, GMC, Jeep, Dodge, Chevrolet, Cadillac, Nissan, Lincoln, Honda, Toyota, or Volkswagen?",Technology,Toyota,Single Answer
84,"According to the allrecipes.com article ""The 5 Best Recipes of 2023"", which of the winners which has the highest amount of protein?",Other,Chicken Parmesan,Single Answer
85,"From the data in the IZA Global Preferences Survey, which countries met at least two of the following criteria:
Countries that scored less than -.4 in Patience
Countries that scored more than .4 in Risk taking
Countries that scored less than -.4 in Altruism
Countries that scored more than .4 in negative Reciprocity
Countries that scored less than -.4 in Trust",Finance & Economics,"Cameroon (Patience, Trust)
Czech Republic (Trust, Altruism)
Zimbabwe (Trust, Risk Taking)
Hungary (Patience, Altruism)
Saudi Arabia (Risk Taking, Negative Reciprocity)
Tanzania (Risk Taking, Altruism)
Malawi (Trust, Risk Taking)",Set Answer
86,"According to global5050.org COVID-19 Sex-Disaggregated Data Tracker, as of September 2022, which clinical pathway shows the greatest disparity between the genders in the USA?",Health,ICU Admissions,Single Answer
87,"According to Clemson University variety evaluations, which farm produced the largest peach in the 2020 growing season?",Science,Musser Fruit Research Farm,Single Answer
88,"Which US counties voted McCain, Romney, Clinton, and Biden?",Politics & Government,"Orange County, Cobb County, Gwinnett County, Henry County, Anne Arundel County, Fort Bend County",Set Answer
89,"Looking at robbery, homicide, and sexual offenses/violations in Toronto and Vancouver independently, list those whose annual absolute count decreased from 2021 to 2022. Use The Toronto Police Service (https://data.torontopolice.on.ca/pages/major-crime-indicators for statistics) in Toronto, and The Vancouver Police Department (https://vpd.ca/crime-statistics/) for statistics in Vancouver.",Geography,"Homicide in Toronto, Homicide in Vancouver",Set Answer
90,"Based on data from United Nations Population Division, among Italy, France, Germany and the United Kingdom, which country had the greatest difference in child mortality rate (under five) compared to the European average in 1969?",Other,United Kingdom,Single Answer
91,"According to the Australian Antarctic Data Centre’s biodiversity database, which taxonomic family of birds has the most species with Antarctic breeding populations?",Science,Laridae,Single Answer
92,"For each mental health committee annual report up to and including 2023 on nysenate.gov, of which senator Samra G. Brouk was the chairperson, which committee members appear on every one of those reports?",Politics & Government,"Senator Samra G. Brouk, Senator Gustavo Rivera, Senator Anthony H. Palumbo",Set Answer
93,"Of the top 5 species groups in global aquaculture from the years 2020, 2021, and 2022, according to the Food and Agriculture Organization of the United Nations’ “Top 10 species groups in global aquaculture” reports from those years, which 2 species groups did not consistently remain at the exact same ranking over all 3 years?",Science,"Brown seaweeds, Red seaweeds",Set Answer
94,"Of the OECD countries that rank in the top 10 for Mammography machines per 1,000,000 in 2023, which is classed as most equal in the 2023 Gender Equality Index produced by the European Institute for Gender Equality.",Health,Finland,Single Answer
95,"According to school report cards from the Department of Education in Arkansas for the 2019-20 school year, which non-academy, public high schools in Lonoke County, Arkansas (according to high-schools.com) had an average class size below 11 students? Provide the names of the high schools in alphabetical order in a comma-separated list, without the words ""high school"".",Education,"Carlisle, England, Lonoke",Set Answer
96,"Which states had alcohol-impaired-driving fatality rates per 100 million vehicle miles traveled that exceeded 0.43 in 2022, according to NHTSA data, and also had an election for governor during the 2022 midterm elections that resulted in a Republican winner?",Politics & Government,"Nevada, Texas, Tennessee, South Carolina",Set Answer
